등록기관,종별,의료기관명,전화번호,소재지(지번),소재지(도로명),인허가일자
전라남도 순천시 보건소,치과의원,채움치과의원,061-724-2874,전라남도 순천시 해룡면 신대리 1985번지,"전라남도 순천시 해룡면 신대3길 2, 5층 501호",2017-04-19
전라남도 목포시 보건소,의원,목포제일의원,061-801-7775,전라남도 목포시 용당동 1109번지 14호,"전라남도 목포시 영산로 304, 1,2층 (용당동)",2018-11-08
전라남도 무안군 보건소,의원,양내과의원,061-453-7100,전라남도 무안군 무안읍 성남리 88번지 1호 (2층),"전라남도 무안군 무안읍 면성1길 113, 2층",2006-01-09
전라남도 고흥군 보건소,한의원,송한의원,061-835-1075,전라남도 고흥군 고흥읍 남계리 1047 빅 리치타워 302호,"전라남도 고흥군 고흥읍 터미널길 13, 빅 리치타워 302호",2011-07-27
전라남도 나주시 보건소,치과의원,산들치과의원,061-336-2275,,"전라남도 나주시 상야2길 22, 4층 401호 (빛가람동)",2017-05-12
전라남도 광양시 보건소,,옥룡보건지소,061-797-4081,,전라남도 광양시 옥룡면 신재로 615,1987-08-10
전라남도 고흥군 보건소,,고흥군보건소,061-830-5561,전라남도 고흥군 고흥읍 등암리 1258번지 21호,전라남도 고흥군 고흥읍 등암3길 5,1952-05-10
전라남도 완도군 보건의료원,의원,완도밝은안과의원,061-555-2075,전라남도 완도군 군내리 1233번지 5호,전라남도 완도군 완도읍 개포로130번길 15,2003-03-12
전라남도 여수시 보건소,치과의원,탑치과의원,0505-900-2468,,전라남도 여수시 새터로 65 (신기동),2017-07-06
전라남도 순천시 보건소,치과의원,파머스치과의원,061-722-2875,전라남도 순천시 조례동 70번지 2호,"전라남도 순천시 백연길 111, 1층 (조례동)",2015-11-16
전라남도 영광군 보건소,치과의원,행복치과의원,061-351-7528,전라남도 영광군 염산면 봉남리 722번지 1호,전라남도 영광군 염산면 칠산로 69,2011-09-01
전라남도 순천시 보건소,의원,강철민내과의원,061-725-2439,전라남도 순천시 조례동 1721번지 8호 1층,"전라남도 순천시 이수로 315, 1층 (조례동)",1992-03-13
전라남도 영암군 보건소,치과의원,영암연합치과의원,061-473-2875,전라남도 영암군 영암읍 동무리 133번지 7호,전라남도 영암군 영암읍 중앙로 34,2010-11-25
전라남도 해남군 보건소,의원,남창연세의원,061-533-7599,,전라남도 해남군 북평면 달량진길 58-1,2011-10-07
전라남도 해남군 보건소,의원,복음의원,061-532-7524,,전라남도 해남군 황산면 시등로 96,1998-10-17
전라남도 나주시 보건소,치과의원,튼튼치과의원,061-333-2235,전라남도 나주시 이창동 192번지 2층,"전라남도 나주시 예향로 3795, 2층 (이창동)",2002-07-30
전라남도 무안군 보건소,치과병원,목포스마트원치과병원,061-802-1111,,"전라남도 무안군 삼향읍 남악4로 49-0, 0동 6층 602호 (중앙프라자)",2024-04-29
전라남도 여수시 보건소,의원,나온의원,061-810-5555,전라남도 여수시 학동 84-8 낙원빌딩,"전라남도 여수시 망마로 31, 낙원빌딩 3층 (학동)",2024-04-30
전라남도 영광군 보건소,의원,염산제일의원,061-352-9756,,전라남도 영광군 염산면 천년로 19-6,1998-12-08
전라남도 목포시 보건소,의원,다윗365내과재활의학과의원,061-281-0365,,"전라남도 목포시 용해지구로 85, 3,5층 (연산동)",2020-02-27
전라남도 화순군 보건소,의원,예닮의원,061-371-2235,전라남도 화순군 화순읍 만연리 242번지 4호,"전라남도 화순군 화순읍 광덕로 185, 동인빌딩 1동 3층",2018-06-18
전라남도 광양시 보건소,치과의원,조은치과의원,061-762-2853,,"전라남도 광양시 광양읍 대림오성로 79, 2층",2015-02-06
전라남도 나주시 보건소,의원,나주산부인과의원,061-332-3339,전라남도 나주시 중앙동 4번지 11호 나주산부인과,전라남도 나주시 나주로 197 (중앙동),2000-11-13
전라남도 해남군 보건소,의원,김동식외과의원,061-535-2256,전라남도 해남군 해남읍 평동리 71,전라남도 해남군 해남읍 홍교로 23,1991-11-07
전라남도 영암군 보건소,의원,월출기찬의원,061-471-7555,,전라남도 영암군 영암읍 동문로 5,2015-06-05
전라남도 영암군 보건소,의원,연합의원,061-471-7575,,전라남도 영암군 시종면 내동중앙로 21-1,1999-04-22
전라남도 영암군 보건소,의원,삼호의원,061-461-0075,,전라남도 영암군 삼호읍 신항로 63-5,1996-10-25
전라남도 함평군 보건소,한의원,원광한의원,061-322-1075,,전라남도 함평군 함평읍 내바람길 29,2005-08-31
전라남도 신안군 보건소,,증도면보건지소,061-271-7532,전라남도 신안군 증도면 증동리 1737-1,전라남도 신안군 증도면 문준경길 193-1,1978-01-05
전라남도 신안군 보건소,,암태면당사도보건진료소,061-246-2711,전라남도 신안군 암태면 당사리 159-1,전라남도 신안군 암태면 당사도길 156-30,1989-03-05
전라남도 장흥군 보건소,의원,예성의원,,,전라남도 장흥군 장흥읍 칠거리예양로 68 (예성의원),2016-06-09
전라남도 보성군 보건소,의원,서병기내과의원,061-852-9878,전라남도 보성군 보성읍 보성리 888번지 58호,전라남도 보성군 보성읍 중앙로 61-15,2000-04-15
전라남도 보성군 보건소,의원,임윤모마취통증의학과의원,061-852-4565,전라남도 보성군 보성읍 보성리 891번지 12호,전라남도 보성군 보성읍 현충로 82,2002-02-25
전라남도 보성군 보건소,의원,벌교김내과의원,061-858-2220,전라남도 보성군 벌교읍 벌교리 887번지 23호,전라남도 보성군 벌교읍 홍암로 19,2008-01-03
전라남도 보성군 보건소,의원,연합의원,061-853-0374,전라남도 보성군 득량면 예당리 437번지 17호,전라남도 보성군 득량면 예당길 170,2001-05-21
전라남도 해남군 보건소,의원,현대의원,061-532-5668,전남 해남군 북일면 흥촌리 159-6,전라남도 해남군 북일면 만월길 22-1,2007-04-02
전라남도 보성군 보건소,의원,연세의원,061-857-9400,전라남도 보성군 조성면 조성리 870번지 13호,전라남도 보성군 조성면 조성로 103,2008-05-13
전라남도 장흥군 보건소,의원,성심의원,061-863-5903,,전라남도 장흥군 장흥읍 중앙로1길 13,2005-02-01
전라남도 장흥군 보건소,의원,김안과의원,061-863-0075,,전라남도 장흥군 장흥읍 동교1길 42,1999-04-20
전라남도 장흥군 보건소,의원,연세마취통증의학과의원,061-863-8586,,전라남도 장흥군 장흥읍 동교1길 8,1996-02-15
전라남도 해남군 보건소,의원,화산삼성의원,061-533-0042,,전라남도 해남군 화산면 해남화산로 1071,2006-02-28
전라남도 해남군 보건소,의원,화원경희의원,061-534-8824,,전라남도 해남군 화원면 금평길 8,2008-09-01
전라남도 해남군 보건소,의원,김종수내과의원,061-532-2222,,전라남도 해남군 해남읍 중앙2로 52,1990-02-07
전라남도 해남군 보건소,의원,효림의원,061-535-2696,,전라남도 해남군 북평면 볼무당길 33,1992-08-19
전라남도 해남군 보건소,의원,중앙내과의원,061-536-8275,,전라남도 해남군 해남읍 남부순환로 7,1999-03-04
전라남도 광양시 보건소,,광양시도시보건지소,061-797-4823,전라남도 광양시 태인동 398번지,전라남도 광양시 담안2길 16-15 (태인동),2010-03-31
전라남도 목포시 보건소,치과의원,이편한치과의원,061-278-2875,전라남도 목포시 상동 175-22외 2필지 2층,"전라남도 목포시 영산로 515, 2층 (상동)",1994-09-29
전라남도 고흥군 보건소,한의원,과역한의원,061-833-3636,전라남도 고흥군 과역면 과역리 164번지 5호,전라남도 고흥군 과역면 고흥로 2982,2009-01-07
,,장성군동화면보건지소,061-390-6926,,전라남도 장성군 동화면 삼동로 723,1980-03-24
전라남도 여수시 보건소,한의원,평강한의원,061-652-9975,,전라남도 여수시 여서1로 58 (여서동),2010-06-03
전라남도 광양시 보건소,한의원,서명진광양한의원,061-762-1075,전라남도 광양시 광양읍 인동리 296번지 4호,전라남도 광양시 광양읍 신재로 15,2019-08-20
전라남도 해남군 보건소,의원,해남봄의원,061-534-0011,전라남도 해남군 해남읍 해리 361-1 정하메디컬빌딩,"전라남도 해남군 해남읍 남부순환로 5, 정하메디컬빌딩 3층",2021-06-17
전라남도 구례군 보건의료원,의원,이정회내과의원,061-783-2245,전라남도 구례군 구례읍 봉동리 373번지 1호,전라남도 구례군 구례읍 로터리길 13,2002-04-25
전라남도 무안군 보건소,의원,남악온누리내과의원,061-281-3651,,"전라남도 무안군 삼향읍 후광대로 242, 2, 3층 (전남개발빌딩)",2012-12-14
전라남도 진도군 보건소,의원,성심의원,061-542-7522,,전라남도 진도군 진도읍 남문길 27,1997-12-20
전라남도 나주시 보건소,한의원,늘푸른한의원,061-334-3005,,"전라남도 나주시 예향로 3826, 2층 (이창동)",2011-07-22
전라남도 무안군 보건소,의원,기독의원,061-452-0213,전라남도 무안군 무안읍 성남리 38번지,전라남도 무안군 무안읍 무안중앙로 37,2003-10-18
전라남도 목포시 보건소,의원,성모마취통증의학과의원,061-271-0031,,"전라남도 목포시 백년대로 327 (상동, 목포복음내과)",2017-04-26
전라남도 장흥군 보건소,의원,조길호의원,061-864-3210,,전라남도 장흥군 장흥읍 동교1길 36-1,2001-01-03
전라남도 진도군 보건소,의원,길정신건강의학과의원,061-542-9111,전라남도 진도군 진도읍 남동리 780-1,"전라남도 진도군 진도읍 남산로 138, 1동 2층",2024-04-05
전라남도 진도군 보건소,,의신보건지소,061-543-4114,,전라남도 진도군 의신면 돈지1길 67 (의신보건소),1983-01-01
전라남도 진도군 보건소,,고군보건지소,061-540-6092,,전라남도 진도군 고군면 진도대로 303 (보건지소),1986-01-01
전라남도 순천시 보건소,의원,모두편한내과방사선과의원,061-725-7567,전라남도 순천시 조례동 1558-55,"전라남도 순천시 신월큰길 1-4, 2,3,7층 (조례동)",2003-04-10
전라남도 장흥군 보건소,의원,정의원,061-867-8576,,전라남도 장흥군 관산읍 관산로 92-6,2007-04-05
전라남도 순천시 보건소,치과의원,플러스치과의원,061-727-2875,전라남도 순천시 조례동 981,전라남도 순천시 신월큰길 13 (조례동),2005-04-18
전라남도 순천시 보건소,의원,바른정형외과의원,061-727-4509,전라남도 순천시 해룡면 신대리 1978번지,전라남도 순천시 해룡면 향매로 67,2018-03-04
전라남도 영암군 보건소,의원,서울정형외과의원,061-473-2000,전라남도 영암군 영암읍 역리 155-1 영암축협,전라남도 영암군 영암읍 중앙로 66,2020-08-06
전라남도 장흥군 보건소,,장흥군관산읍보건지소,061-867-3320,,전라남도 장흥군 관산읍 정남진로 27,1988-01-01
전라남도 장흥군 보건소,,장흥군용산면보건지소,061-862-5772,,전라남도 장흥군 용산면 장흥대로 2467,1988-01-01
전라남도 목포시 보건소,의원,압구정앤의원,061-287-6002,전라남도 목포시 상동 779번지 4층,"전라남도 목포시 섶나루길 126, 4층 (상동)",2006-03-06
전라남도 여수시 보건소,의원,진남마취통증의학과의원,061-664-7576,전라남도 여수시 중앙동 491번지,"전라남도 여수시 동문로 10, 2층 (중앙동)",2011-03-21
전라남도 여수시 보건소,의원,윤정훈가정의원,061-692-1990,전라남도 여수시 소라면 죽림리 1186번지 2호,전라남도 여수시 소라면 죽림중앙로 52,2012-03-06
전라남도 해남군 보건소,치과의원,김동주부부치과의원,061-533-2200,전라남도 해남군 해남읍 해리 456번지 1호 로타리빌딩,"전라남도 해남군 해남읍 중앙1로 2, 로타리빌딩 2층",1987-10-31
전라남도 화순군 보건소,의원,사평제일의원,061-371-6611,,전라남도 화순군 남면 사평길 17,2017-09-28
전라남도 여수시 보건소,,초도보건지소,061-659-1775,전라남도 여수시 삼산면 초도리 408번지,전라남도 여수시 삼산면 대동길 78,2000-01-01
전라남도 여수시 보건소,의원,참조은소아청소년과의원,061-653-5501,전라남도 여수시 여서동 478번지,전라남도 여수시 여서로 173 (여서동),2002-04-18
전라남도 목포시 보건소,치과의원,대성플러스치과의원,061.285.8888,,"전라남도 목포시 청호로 109 (산정동, 목포삼성병원)",2017-10-10
전라남도 무안군 보건소,의원,남악고운의원,061-287-7555,,"전라남도 무안군 삼향읍 남악2로74번길 35, 2층",2012-06-12
전라남도 여수시 보건소,의원,예스정형외과의원,061-684-7501,전라남도 여수시 신기동 71번지 5호,전라남도 여수시 흥국로 98 (신기동),2020-04-16
전라남도 함평군 보건소,치과의원,하나로플란트치과의원,061-894-7528,,"전라남도 함평군 함평읍 내바람길 42, 함평농협 2층",2019-01-30
전라남도 보성군 보건소,치과의원,제일치과의원,061-852-0606,전라남도 보성군 보성읍 보성리 893번지 8호,전라남도 보성군 보성읍 현충로 87-2,1987-04-23
전라남도 화순군 보건소,한의원,능주한의원,061-371-7501,전라남도 화순군 능주면 관영리 89번지 1호,전라남도 화순군 능주면 죽수길 94,2002-03-19
전라남도 여수시 보건소,의원,참조은연합의원,061-680-0300,전라남도 여수시 안산동 724번지 1호,전라남도 여수시 장성3길 52 (안산동),2017-11-01
전라남도 담양군 보건소,치과의원,대전치과의원,061-381-2878,,전라남도 담양군 대전면 대치4길 5,2012-10-26
전라남도 목포시 보건소,치과의원,하이치과의원,061-287-2875,,"전라남도 목포시 섶나루길 126, 3층 (상동, 메디타워)",2005-11-08
전라남도 순천시 보건소,치과의원,에벤에셀치과의원,061-722-7560,전라남도 순천시 조례동 1587-11,"전라남도 순천시 순광로 6, 4층 (조례동)",2021-03-24
전라남도 담양군 보건소,,창평 건강증진형 보건지소,061-380-3617,전라남도 담양군 창평면 창평리 109-2,전라남도 담양군 창평면 의병로 118,1967-06-15
전라남도 완도군 보건의료원,의원,제일의원,061-552-2374,전라남도 완도군 완도읍 군내리 1314번지,"전라남도 완도군 완도읍 장보고대로 264, 2층",2017-10-20
전라남도 여수시 보건소,한의원,단군한의원,061-664-7500,전라남도 여수시 관문동 803-7,"전라남도 여수시 동문로 80, 1층 (관문동)",2000-04-06
전라남도 여수시 보건소,의원,참좋은마취통증의학과의원,061-641-5000,,"전라남도 여수시 남산로 126, 5층 (서교동, 성흔빌딩)",2008-04-29
전라남도 여수시 보건소,한의원,제일한의원,061-663-8275,,전라남도 여수시 중앙로 22-2 (교동),1999-02-12
전라남도 여수시 보건소,한의원,제생한의원,061-686-7515,,전라남도 여수시 무선로 36 (학동),1999-03-08
전라남도 여수시 보건소,한의원,금당한의원,061-684-3346,,전라남도 여수시 흥국로 15 (학동),2004-06-22
전라남도 순천시 보건소,의원,오필승정형외과의원,061-901-7588,전라남도 순천시 조례동 1722번지 12호 조례큰약국,"전라남도 순천시 이수로 325, 조례큰약국 3층 (조례동)",2019-12-09
전라남도 곡성군 보건의료원,,곡성군입면보건지소,061-360-7991,전라남도 곡성군 입면 매월리 583번지 9호,전라남도 곡성군 입면 금산택촌길 6,1968-10-01
전라남도 보성군 보건소,의원,회천의원,061-853-7536,전라남도 보성군 회천면 율포리 316번지,"전라남도 보성군 회천면 남부관광로 2321, 1층",2018-01-04
전라남도 고흥군 보건소,의원,한국정형외과의원,061-834-0075,전라남도 고흥군 고흥읍 서문리,전라남도 고흥군 고흥읍 서문여산길 74,2008-02-01
전라남도 완도군 보건의료원,,완도군노화읍서넙도보건진료소,061-553-4360,전라남도 완도군 노화읍 방서리 421번지 6호 서넙도 보건진료소,"전라남도 완도군 노화읍 서넙도길 62-1, 서넙도 보건진료소",2018-01-24
전라남도 고흥군 보건소,의원,소망의원,061-833-8266,,전라남도 고흥군 동강면 동강중촌길 22-14,2007-07-13
전라남도 진도군 보건소,의원,진도의원,061-543-9074,,전라남도 진도군 진도읍 남문길 12-1,2016-11-01
전라남도 광양시 보건소,의원,현대연합의원,061-762-9100,전라남도 광양시 광양읍 덕례리 1670-12,전라남도 광양시 광양읍 대림오성로 100,2021-06-01
전라남도 해남군 보건소,치과의원,한양치과의원,061-533-7702,전라남도 해남군 송지면 산정리 765번지 1호,전라남도 해남군 송지면 산정1길 70,1996-04-24
전라남도 여수시 보건소,한의원,오한의원,061-654-6200,전남 여수시 여서동 491-5,전라남도 여수시 여서로 168 (여서동),1969-05-09
전라남도 여수시 보건소,한의원,이승복한의원,061-686-9020,,"전라남도 여수시 쌍봉로 32 (학동, 신동아파밀리에아파트)",2005-01-10
전라남도 장흥군 보건소,의원,이상준내과의원,061-863-5001,전라남도 장흥군 장흥읍 건산리 737번지 4호,"전라남도 장흥군 장흥읍 동교1길 26, 플러스마트 103호",2018-02-19
,한의원,상무한의원,061-394-9977,전남장성군삼계면사창리 481-34,전라남도 장성군 삼계면 사창로 76-1,2000-03-02
전라남도 순천시 보건소,의원,순천동강의원,061-754-8275,전라남도 순천시 가곡동 964-11,"전라남도 순천시 고지1길 4, 2층 (가곡동)",2007-10-22
전라남도 고흥군 보건소,치과의원,김현철치과의원,061-832-2225,전라남도 고흥군 고흥읍 서문리,전라남도 고흥군 고흥읍 고흥로 1783,1995-04-24
전라남도 신안군 보건소,,압해면매화도보건진료소,061-246-2625,전라남도 신안군 압해읍 매화리 638-1 매화도보건진료소,"전라남도 신안군 압해읍 대동길 6-1, 매화도보건진료소",1992-06-10
전라남도 순천시 보건소,의원,서울로성형외과의원,061-721-5800,전라남도 순천시 조례동 1721번지 5호 2층,"전라남도 순천시 이수로 319, 2층 (조례동)",2019-10-04
전라남도 곡성군 보건의료원,부속의원,금호타이어 부속의원,061-360-3081,전라남도 곡성군 입면 서봉리 145번지,전라남도 곡성군 입면 금호길 85-63,2000-12-26
전라남도 곡성군 보건의료원,부속의원,금호부속치과의원,063-360-3084,전라남도 곡성군 입면 서봉리 145번지,전라남도 곡성군 입면 금호길 85-63,2008-03-10
전라남도 목포시 보건소,치과의원,웰치과교정과치과의원,061-285-2874,전라남도 목포시 상동 890번지 3층,"전라남도 목포시 백년대로 294, 3층 (상동)",2005-04-28
전라남도 진도군 보건소,의원,세종의원,061-543-7810,전라남도 진도군 의신면 돈지리 828번지 세종의원,"전라남도 진도군 의신면 돈지2길 7, 세종의원",2018-11-29
전라남도 여수시 보건소,치과의원,진솔한치과의원,061-807-2774,전라남도 여수시 학동 68-21,"전라남도 여수시 시청로 15, 5,6층 (학동)",2024-07-02
전라남도 순천시 보건소,의원,나산부인과의원,061-743-7733,전라남도 순천시 조례동 1721번지 5호 3층,"전라남도 순천시 이수로 319, LG텔레콤 3층 (조례동)",1991-09-05
전라남도 고흥군 보건소,의원,연세의원,061-842-8300,전라남도 고흥군 도양읍 봉암리 2209-24 의원,"전라남도 고흥군 도양읍 녹동남문길 4-9, 의원",2016-03-21
전라남도 무안군 보건소,의원,남악밝은안과의원,061-802-2400,전라남도 무안군 삼향읍 남악리 2151번지 신우메디칼센터,"전라남도 무안군 삼향읍 남악3로 50, 신우메디칼센터 3층 301호",2018-03-07
전라남도 완도군 보건의료원,의원,고금의원,061-552-2075,,"전라남도 완도군 고금면 고금동로 11, 1층",2017-12-22
전라남도 목포시 보건소,의원,베스트의원,061-278-7575,전라남도 목포시 산정동 273번지 1호,"전라남도 목포시 양을로 145, 2,3층 (산정동)",2016-11-16
전라남도 무안군 보건소,의원,스위트플로리스여성의원,061-801-7582,전라남도 무안군 삼향읍 남악리 2149,"전라남도 무안군 삼향읍 남악3로 56, 4층 402호",2022-11-08
전라남도 여수시 보건소,의원,맑은윤피부과의원,061-810-2211,전라남도 여수시 여서동 490번지 6호 여수신협,"전라남도 여수시 여서로 156-1, 4, 5층 (여서동)",2018-04-09
전라남도 함평군 보건소,한의원,월야백세한의원,061-322-2030,전라남도 함평군 월야면 월야리 713번지 44호,"전라남도 함평군 월야면 밀재로 1512, 2층",2019-12-10
전라남도 목포시 보건소,의원,하얀피부과의원,061-243-2074,전라남도 목포시 대안동 14-11번지 2층,"전라남도 목포시 호남로64번길 27, 2층 (대안동)",2000-02-29
전라남도 고흥군 보건소,,점암보건지소,061-830-6662,,전라남도 고흥군 점암면 점암학교길 28,1980-03-02
전라남도 순천시 보건소,의원,필스토리의원,061-727-8050,"전라남도 순천시 조례동 975번지 17호 리원빌딩 4,5층","전라남도 순천시 신월큰길 7 (조례동, 리원빌딩 4,5층)",2014-04-01
전라남도 해남군 보건소,의원,효자의원,061-535-0572,,전라남도 해남군 황산면 시등로 119,2006-06-02
전라남도 해남군 보건소,의원,한사랑의원,061-532-6070,,전라남도 해남군 송지면 산정1길 58,2011-02-24
전라남도 진도군 보건소,의원,현대의원,061-542-7577,,전라남도 진도군 지산면 지산로 1184,2011-04-26
전라남도 나주시 보건소,의원,고조현외과의원,061-333-9595,전라남도 나주시 중앙동 53-1,전라남도 나주시 나주로 152 (중앙동),1989-05-17
전라남도 진도군 보건소,치과의원,미소치과의원,061-542-2877,전라남도 진도군 진도읍 남동리 494번지 1호,전라남도 진도군 진도읍 남동1길 53,2019-01-31
전라남도 구례군 보건의료원,한의원,삼성당최한의원,061-782-2135,구례군구례읍봉동리391-6,전라남도 구례군 구례읍 상설시장길 17,1999-04-01
전라남도 영광군 보건소,,영광군보건소,061-350-5552,전라남도 영광군 영광읍 남천리 326번지5호,전라남도 영광군 영광읍 신남로4길 17,1962-05-12
전라남도 무안군 보건소,의원,남악복음내과의원,061-284-7582,전라남도 무안군 삼향읍 남악리 2151번지 신우메디칼센터,"전라남도 무안군 삼향읍 남악3로 50, 신우메디칼센터 4층 403호",2019-03-21
전라남도 나주시 보건소,치과의원,강치과의원,061-331-9800,전라남도 나주시 성북동 1384번지31호,전라남도 나주시 나주로 204 (성북동),2007-04-16
전라남도 함평군 보건소,의원,학교사랑의원,061-323-8578,,전라남도 함평군 학교면 함영로 501-3,2015-03-04
전라남도 나주시 보건소,의원,나주베스트정형외과의원,061-335-7200,,"전라남도 나주시 나주로 205, 나주종합할인 2층 (성북동)",2021-01-21
전라남도 해남군 보건소,치과의원,청치과의원,061-534-2882,전라남도 해남군 해남읍 고도리 472번지 1호 청치과의원,"전라남도 해남군 해남읍 남부순환로 159, 청치과의원 3층",1994-03-10
전라남도 순천시 보건소,의원,아이튼튼연합소아청소년과의원,061-721-9966,전라남도 순천시 해룡면 신대리 1985번지 4호 2층,"전라남도 순천시 해룡면 신대로 116, 2층",1997-08-01
전라남도 광양시 보건소,의원,수연합의원,061-793-0345,전라남도 광양시 마동 1051번지 2호,"전라남도 광양시 사동로 182, 2층 (마동)",2018-06-08
전라남도 광양시 보건소,의원,탑정형외과의원,061-791-7501,전라남도 광양시 중동 1636번지 2호,"전라남도 광양시 중마중앙로 81, 2층 (중동)",2020-04-28
전라남도 목포시 보건소,의원,김태균내과의원,061-284-1291,전라남도 목포시 옥암동 1192번지 8호,"전라남도 목포시 정의로 4-10, 3층 (옥암동)",1998-10-24
전라남도 완도군 보건의료원,치과의원,노화흥일치과의원,061-552-2875,전라남도 완도군 이포리 678번지 95호,전라남도 완도군 노화읍 노화로 844,2008-04-04
전라남도 여수시 보건소,의원,김의원,061-663-5705,전라남도 여수시 충무동 621번지 29호,전라남도 여수시 충무로 43 (충무동),1986-02-18
전라남도 순천시 보건소,치과의원,순천 킴치과의원,061-724-2875,전라남도 순천시 조례동 606-3,"전라남도 순천시 백강로 367, 5층 (조례동)",2020-07-17
전라남도 화순군 보건소,의원,박내과의원,061-375-7588,전라남도 화순군 화순읍 교리 100-11,"전라남도 화순군 화순읍 자치샘로 25, 1층",2018-11-27
전라남도 순천시 보건소,의원,순천정신건강의학과의원,061-751-1053,전라남도 순천시 중앙동 61번지 69호,전라남도 순천시 중앙로 119-1 (중앙동),1994-03-08
전라남도 순천시 보건소,의원,오천 권내과의원,061-746-0078,전라남도 순천시 오천동 956번지 2호 2층,"전라남도 순천시 오천7길 28, 2층 (오천동)",2018-07-20
전라남도 무안군 보건소,한의원,도안한의원,061-283-5475,전라남도 무안군 일로읍 월암리 186번지 259호 일로대중사우나,"전라남도 무안군 일로읍 일로로 77-1, 일로대중사우나 1층",2018-06-21
전라남도 나주시 보건소,의원,나주동강의원,061-336-0059,전라남도 나주시 동강면 월량리 309번지 1호,전라남도 나주시 동강면 동강로 599,2009-02-16
전라남도 나주시 보건소,치과의원,김준형치과의원,061-331-2875,전라남도 나주시 송월동 680번지1호,전라남도 나주시 나주로 83-16 (송월동),2003-06-09
전라남도 광양시 보건소,한의원,보명당한의원,061-794-3336,전라남도 광양시 중동 1361번지 12호,"전라남도 광양시 중마로 174, 2층 (중동)",1998-12-02
전라남도 순천시 보건소,치과의원,서울미치과의원,061-746-2875,전라남도 순천시 조례동 528 골드클래스 시그니처 201호,"전라남도 순천시 태봉길 31, 2층 201호 (조례동, 골드클래스 시그니처)",2011-07-08
전라남도 여수시 보건소,한의원,우리한의원,061-666-8275,,전라남도 여수시 충무로 39 (교동),2000-03-31
전라남도 나주시 보건소,치과의원,시엘행복한치과의원,061-336-2255,,"전라남도 나주시 빛가람로 685, 6층 602,603호 (빛가람동)",2017-10-10
전라남도 여수시 보건소,치과의원,프라임치과의원,061-653-8545,전라남도 여수시 여서동 478번지 참조은소아과,"전라남도 여수시 여서로 173, 6층 (여서동)",2010-12-03
전라남도 목포시 보건소,한의원,늘푸른한의원,061-281-7505,,"전라남도 목포시 신흥로 2, 2층 (상동)",2018-04-03
전라남도 나주시 보건소,의원,우리들의원,061-336-4000,전라남도 나주시 다시면 월태리 494번지 12호,전라남도 나주시 다시면 대용길 31,2010-05-25
전라남도 장흥군 보건소,의원,대덕미래의원,061-867-9955,,전라남도 장흥군 대덕읍 대대로 930,2017-03-17
전라남도 장흥군 보건소,의원,한마음내과의원,061-863-1500,,전라남도 장흥군 장흥읍 동교2길 13-19,2012-03-02
전라남도 장흥군 보건소,한의원,자연생한의원,061-863-7003,,전라남도 장흥군 장흥읍 건산로 15,2012-05-23
전라남도 장흥군 보건소,의원,맑은기억 정신건강의학과의원,061-864-7708,전라남도 장흥군 장흥읍 건산리 386-9,전라남도 장흥군 장흥읍 중앙로 19-2,2020-07-16
전라남도 담양군 보건소,의원,하나의원,061-381-7575,전라남도 담양군 담양읍 담주리 105-2,전라남도 담양군 담양읍 추성로 1305,1999-12-03
전라남도 나주시 보건소,치과의원,준치과의원,061-334-2272,전라남도 나주시 성북동,전라남도 나주시 나주로 210 (성북동),2016-12-30
전라남도 담양군 보건소,의원,연세의원,061-381-3055,전라남도 담양군 대전면 대치리 962,전라남도 담양군 대전면 대치4길 2,1996-11-14
전라남도 담양군 보건소,의원,송외과의원,061-381-2198,전라남도 담양군 담양읍 지침리 132-19,전라남도 담양군 담양읍 지침3길 9,1997-12-08
전라남도 담양군 보건소,한의원,순창한의원,061-381-2819,전라남도 담양군 담양읍 객사리 218-4,전라남도 담양군 담양읍 객사2길 7,2001-11-01
전라남도 담양군 보건소,의원,박내과의원,061-381-5550,전라남도 담양군 담양읍 지침리 132,전라남도 담양군 담양읍 지침3길 7,2002-03-15
전라남도 여수시 보건소,부속의원,GS칼텍스(주)부속의원,061-680-2068,전라남도 여수시 월내동 1056번지 18호 GS칼텍스,전라남도 여수시 여수산단로 1083-101 (월내동),1976-06-08
전라남도 영광군 보건소,의원,참사랑가정의학과의원,061-353-0255,전라남도 영광군 영광읍 남천리 324번지 10호,"전라남도 영광군 영광읍 신남로 198, 2층",2008-05-22
전라남도 나주시 보건소,치과의원,성심치과의원,061-332-9039,전라남도 나주시 중앙동 19번지,"전라남도 나주시 나주로 179, 2층 (중앙동)",1989-02-22
전라남도 담양군 보건소,의원,동진의원,061-381-1907,전라남도 담양군 담양읍 객사리 217-4,전라남도 담양군 담양읍 객사2길 9,2004-01-05
전라남도 담양군 보건소,한의원,북경한의원,061-383-7770,전라남도 담양군 담양읍 천변리 173-19,전라남도 담양군 담양읍 중앙로 41,2003-04-14
전라남도 담양군 보건소,의원,담양우리안과의원,061-383-8275,전라남도 담양군 담양읍 지침리 650,전라남도 담양군 담양읍 중앙로 30-1,2006-01-19
전라남도 순천시 보건소,의원,사랑의원,061-741-0341,,"전라남도 순천시 풍덕주택길 87, 1-2층 (풍덕동)",1996-09-17
전라남도 여수시 보건소,의원,굿모닝비뇨기과의원,061-641-5882,전라남도 여수시 서교동 542번지,"전라남도 여수시 남산로 126 (서교동, 성흔빌딩)",2007-06-05
